PC® Blue Menu® or Free From® breakfast or dinner pork sausage or Blue Menu® sausage patties	4.99	500 g	Meat
beef bottom sirloin tri tip roast	7.99 lb / 17.61/kg		Meat
fresh in-store made burgers	5.99 lb / 13.21/kg		Meat
extra lean ground beef	4.44 lb / 9.79/kg		Meat
Maple Leaf Prime extra lean ground chicken or turkey	4.99 lb / lb / 11.00/kg		Meat
pork loin centre cut chops	5.99 lb / 13.21/kg		Meat
pork tenderloin or back ribs	3.99 lb / 8.80/kg		Meat
lean ground veal	5.99 lb / 13.21/kg		Meat
PC® Free From® chicken thighs	6.99 lb / 15.41/kg		Meat
marinated beef short ribs	7.99 lb / 17.61/kg		Meat
From Our Chefs chicken, pork or beef	from 8 - 15	500 g	Meat
PC® old fashion style bacon	8.99		Meat
chicken breasts	3.99 lb / 8.80/kg		Meat
lean ground pork	3.99 lb / 8.80/kg		Meat
boneless beef rib grilling steak	15.99 lb / 35.25/kg		Meat
Piller's smoked ham or PC® Free From® ham	9.99	800 g	Meat
PC® boneless lamb leg or ground lamb	7.99 lb / 17.61/kg		Meat
Maple Lodge chicken bologna or wieners	1.99	450 g	Meat
marinated pork tenderloin	4.99 lb / 11.00/kg		Meat
shiitake mushrooms	10.99 lb / 24.23/kg		Produce
mixed berry parfait with yogurt	2.99	290 g	Produce
PC® Organics baby spinach or field greens	5.79	312 g	Produce
PC organics blueberries	3.99	277 g	Produce
organic D’Anjou pears	4.99 3 lb BAG		Produce
colossal cherries	3.44 lb / 7.58/kg		Produce
carrots	3.29 3 lb BAG		Produce
greenhouse extra large red, yellow or orange sweet peppers	2.99 lb / 6.59/kg		Produce
PC® cherry tomatoes	3.49	255 g	Produce
PC® Organics Romaine hearts	4.44		Produce
oyster mushrooms	7.99 lb / 17.62/kg		Produce
PC® enoki mushrooms	2.99	150 g	Produce
whole cremini mushrooms	3.99 lb / 8.80/kg		Produce
Artisan Romaine lettuce	3.49 each		Produce
whole portobella mushrooms	4.99 lb / 11.00/kg		Produce
Farmer’s Market™ English cucumbers	2.99		Produce
PC® sliced king oyster mushrooms	4.99	200 g	Produce
Granny Smith	1.88 lb / 4.14/kg		Produce
green onions	79 ¢		Produce
PC® Little Gems™ mini potatoes	3.99	680 g	Produce
large ripe avocados	3/5 or 1.67 ea.		Produce
ORGANIC strawberries	3.99 each	1 lb	Produce
PC® Organics white or cremini mushrooms	2/5 or 2.50 ea.	227 g	Produce
extra large ripe mangoes	2/4 or 2 ea.		Produce
tree ripe peaches or nectarines	3.99 lb / 8.80/kg		Produce
PC® baby king oyster mushrooms	4.99	200 g	Produce
rhubarb	4.49	454 g	Produce
PC® white stuffer mushrooms	3.99		Produce
PC® original, broccoli or carrot coleslaw, vegetable medley, stir fry mix or broccoli florets	2/5 or 2.50 ea.	340 g	Produce
large Navel oranges	1.49 lb / 3.28/kg		Produce
Greenhouse beefsteak tomatoes	1.79 lb / 3.95/kg		Produce
PC® Organics Portobello mushrooms	4.99		Produce
