extra lean ground beef	4.44	lb	Meat
Butterball turkey franks	3.99	ea	Meat
PC® boneless lamb leg	5.99	lb	Meat
Beretta organic lean ground beef	9.99	lb	Meat
pork loin centre cut chops	4.99	lb	Meat
PC® free from® whole chicken	3.49	lb	Meat
Beretta organic New York Style striploin grilling steak	24.99	lb	Meat
Marc Angelo sausage or sausage burgers	3.99	ea	Meat
pork shoulder Capicola roast	6.49	lb	Meat
chicken breasts	3.99	lb	Meat
Beretta organic sirloin tipoven roast	16.99	lb	Meat
Beretta organic ribeye grilling steak	23.99	lb	Meat
Johnsonville smoked sausage	3.99	ea	Meat
Beretta organic stewing beef	14.99	lb	Meat
Beretta organic top sirloin grilling steak	19.99	lb	Meat
split chicken wings	2.99	lb	Meat
Schneiders Grill’ems smoked sausage or Juicy Jumbos wieners	4.99	ea	Meat
wild boar or elk steak	10.49	ea	Meat
Smithfield bacon hickory smoked bacon	2.99	ea	Meat
Maple Leaf Prime extra lean ground chicken or turkey	4.49	lb	Meat
pork side ribs	4.99	lb	Meat
grain fed veal cutlets	10.99	lb	Meat
Ziggy's® roast beef, corned beef or pastrami	1.99	ea	Meat
green beans	2.49	lb	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99	lb	Produce
greenhouse tomatoes on the vine	0.99	lb	Produce
grape tomatoes	4.99	ea	Produce
raspberries	3.34	ea	Produce
organic raspberries or blueberries	3.99	ea	Produce
large red plums	2.99	lb	Produce
fruit tri-pack	8.49	ea	Produce
Shanghai or baby bok choy	1.99	lb	Produce
PC® Melorange®	3.49	ea	Produce
Ataulfo mango	0.99	ea	Produce
green kiwi	3.99	ea	Produce
extra large pineapple	3.99	ea	Produce
seedless watermelon cuts	1.49	lb	Produce
cored pineapple	4.49	ea	Produce
spinach	1.99	ea	Produce
sweet potatoes	1.99	lb	Produce
d’Anjou or red pears	1.99	lb	Produce
NewStar cooking greens	4.49	ea	Produce
Romaine, red or green leaf lettuce	2.99	ea	Produce
pepper, butternut, buttercup or spaghetti squash	1.99	lb	Produce
Lil Snappers Gala or Fuji apples or d’Anjou pears	4.99	ea	Produce
PC® Orri Mandarin	5.99	ea	Produce
Dandy celery sticks	2.49	ea	Produce
Farmer’s Market™ Russet, red or yellow potatoes	3.49	ea	Produce
